INDEX,COLOR,OUT_INDEX,OUTPUT_DATA_REL,OUTPUT_DATA_FMT,OUTPUT_DATA_RAW
0,WHITE,268,e2e4,e2e4,e2e4
1,WHITE,1460,b1c3,b1c3,b1c3
2,WHITE,317,g2g3,g2g3,g2g3
3,WHITE,118,f1g2,f1g2,f1g2
4,WHITE,1481,g1e2,g1e2,g1e2
5,WHITE,1,O-O,O-O,e1g1
6,WHITE,248,d2d3,d2d3,d2d3
7,WHITE,339,h2h3,h2h3,h2h3
8,WHITE,52,c1e3,c1e3,c1e3
9,WHITE,77,d1d2,d1d2,d1d2
10,WHITE,139,g1h2,g1h2,g1h2
11,WHITE,1532,c3d5,c3d5,c3d5
12,WHITE,1644,d5e7,d5e7,d5e7
13,WHITE,225,c2c3,c2c3,c2c3
14,WHITE,253,d2e2,d2e2,d2e2
15,WHITE,291,f2f4,f2f4,f2f4
16,WHITE,19,a1e1,a1e1,a1e1
17,WHITE,670,f4e5,f4e5,f4e5
18,WHITE,642,e4f5,e4f5,e4f5
19,WHITE,503,g3g4,g3g4,g3g4
20,WHITE,404,c3c4,c3c4,c3c4
21,WHITE,315,g2e4,g2e4,g2e4
22,WHITE,202,b2b3,b2b3,b2b3
23,WHITE,463,e3f2,e3f2,e3f2
24,WHITE,289,f2c5,f2c5,f2c5
25,WHITE,774,c5f8,c5f8,c5f8
26,WHITE,107,f1f8,f1f8,f1f8
27,WHITE,275,e2f2,e2f2,e2f2
28,WHITE,102,e1f1,e1f1,e1f1
29,WHITE,692,g4h5,g4h5,g4h5
30,WHITE,294,f2f3,f2f3,f2f3
31,WHITE,122,f1g1,f1g1,f1g1
32,WHITE,479,f3f4,f3f4,f3f4
33,WHITE,131,g1g6,g1g6,g1g6
34,WHITE,1073,g6e6,g6e6,g6e6
35,WHITE,1020,e6e7,e6e7,e6e7
36,BLACK,1460,b1c3,g8f6,g8f6
37,BLACK,317,g2g3,b7b6,b7b6
38,BLACK,118,f1g2,c8b7,c8b7
39,BLACK,248,d2d3,e7e6,e7e6
40,BLACK,268,e2e4,d7d5,d7d5
41,BLACK,1536,c3e2,f6d7,f6d7
42,BLACK,428,d3e4,e6d5,e6d5
43,BLACK,291,f2f4,c7c5,c7c5
44,BLACK,50,c1f4,f8c5,f8c5
45,BLACK,1480,g1f3,b8c6,b8c6
46,BLACK,1557,f3e5,c6d4,c6d4
47,BLACK,99,e1d2,d8e7,d8e7
48,BLACK,1653,e5d7,d4e2,d4e2
49,BLACK,668,f4g5,c5b4,c5b4
50,BLACK,1,O-O,O-O,e8g8
51,BLACK,225,c2c3,f7f6,f7f6
52,BLACK,403,c3d4,f6e5,f6e5
53,BLACK,1506,e2c3,d7f6,d7f6
54,BLACK,202,b2b3,g7g6,g7g6
55,BLACK,43,b1a1,g8h8,g8h8
56,BLACK,1532,c3d5,f6e4,f6e4
57,BLACK,241,d2g5,e7b4,e7b4
58,BLACK,880,g5g7,b4b2,b4b2
59,BLACK,1259,g7g5,b2b4,b2b4
60,BLACK,53,c1c3,f8f6,f8f6
61,BLACK,316,g2h3,b7a6,b7a6
62,BLACK,379,b3c4,g6f5,g6f5
63,BLACK,1649,d5b4,e4g5,e4g5
64,BLACK,890,g5b5,b4g4,b4g4
65,BLACK,766,b5b4,g4g5,g4g5
66,BLACK,404,c3c4,f6f5,f6f5
67,BLACK,561,b4e7,g5d2,g5d2
68,BLACK,168,h1b1,a8g8,a8g8
69,BLACK,522,h3e6,a6d3,a6d3
70,BLACK,27,b1b6,g8g3,g8g3
71,BLACK,1202,e7d8,d2e1,d2e1
72,BLACK,1365,d8b6,e1g3,e1g3
73,BLACK,643,e4e5,d5d4,d5d4
74,BLACK,337,h2h4,a7a5,a7a5
75,BLACK,715,h4h5,a5a4,a5a4
76,BLACK,905,h5h6,a4a3,a4a3
77,BLACK,14,a1b2,h8g7,h8g7
78,BLACK,181,a2a3,h7h6,h7h6
79,BLACK,503,g3g4,b6b5,b6b5
80,BLACK,693,g4g5,b5b4,b5b4
81,BLACK,616,d4d5,e5e4,e5e4
82,BLACK,806,d5d6,e4e3,e4e3
83,BLACK,201,b2c3,g7f6,g7f6
84,BLACK,403,c3d4,f6e5,f6e5
85,BLACK,1034,e6c4,d3f5,d3f5
86,BLACK,833,e5e6,d4d3,d4d3
87,BLACK,588,c4a6,f5h3,f5h3
88,BLACK,615,d4e5,e5d4,e5d4
89,BLACK,832,e5f6,d4c3,d4c3
90,WHITE,268,e2e4,e2e4,e2e4
91,WHITE,317,g2g3,g2g3,g2g3
92,WHITE,118,f1g2,f1g2,f1g2
93,WHITE,1481,g1e2,g1e2,g1e2
94,WHITE,245,d2d4,d2d4,d2d4
95,WHITE,222,c2c4,c2c4,c2c4
96,WHITE,1,O-O,O-O,e1g1
97,WHITE,1506,e2c3,e2c3,e2c3
98,WHITE,616,d4d5,d4d5,d4d5
99,WHITE,200,b2b4,b2b4,b2b4
